OrderID;Date;ProductCategory;Price;Quantity;Date_raw;TotalSale
1;2022-04-13;electronica;35.0;5.0;13/04/2022;175.0
2;;electronica;26.0;3.0;28-abr-22;78.0
3;2022-05-25;electronica;27.0;5.0;25/05/2022;135.0
4;2022-04-15;electronica;24.0;3.0;15/04/2022;72.0
5;2022-03-13;alimento;13.0;1.0;13-mar-22;13.0
6;2022-02-03;alimento;30.0;2.0;03/02/2022;60.0
7;2022-05-27;alimento;17.0;3.0;27/05/2022;51.0
8;2022-05-02;alimento;36.0;3.0;02-may-22;108.0
9;2022-02-01;alimento;7.0;3.0;01/02/2022;21.0
10;2022-02-17;hogar;22.0;2.0;17/02/2022;44.0
11;;hogar;15.0;1.0;25-ene-22;15.0
12;2022-05-02;hogar;13.0;4.0;02/05/2022;52.0
13;2022-03-14;jardin;33.0;5.0;14/03/2022;165.0
14;;jardin;50.0;1.0;11-abr-22;50.0
15;2022-02-03;jardin;22.0;3.0;03/02/2022;66.0
16;2022-03-20;jardin;30.0;4.0;20/03/2022;120.0
17;;camping;7.0;4.0;29-abr-22;28.0
18;2022-04-05;camping;10.0;5.0;05/04/2022;50.0
19;2022-02-12;camping;22.0;2.0;12/02/2022;44.0
20;;camping;39.0;3.0;29-ene-22;117.0
21;2022-02-24;vestimenta;3.0;4.0;24/02/2022;12.0
22;2022-03-02;vestimenta;50.0;3.0;02/03/2022;150.0
23;2022-03-27;vestimenta;5.0;3.0;27-mar-22;15.0
24;2022-03-22;vestimenta;13.0;2.0;22/03/2022;26.0
25;2022-03-22;electronica;30.0;5.0;22/03/2022;150.0
26;;electronica;10.0;3.0;23-ene-22;30.0
27;2022-02-08;electronica;49.0;1.0;08/02/2022;49.0
28;2022-01-14;electronica;35.0;5.0;14/01/2022;175.0
29;;alimento;28.0;3.0;04-abr-22;84.0
30;2022-05-21;alimento;16.0;3.0;21/05/2022;48.0
31;2022-05-28;alimento;46.0;5.0;28/05/2022;230.0
32;;alimento;42.0;3.0;15-ene-22;126.0
33;2022-05-02;alimento;3.0;2.0;02/05/2022;6.0
34;2022-06-03;hogar;42.0;4.0;03/06/2022;168.0
35;2022-02-25;hogar;11.0;4.0;25-feb-22;44.0
36;2022-01-22;hogar;42.0;4.0;22/01/2022;168.0
37;2022-04-12;jardin;3.0;1.0;12/04/2022;3.0
38;2022-02-13;jardin;15.0;3.0;13-feb-22;45.0
39;2022-05-10;jardin;19.0;1.0;10/05/2022;19.0
40;2022-04-18;jardin;4.0;3.0;18/04/2022;12.0
41;;camping;40.0;2.0;24-abr-22;80.0
42;2022-03-28;camping;12.0;2.0;28/03/2022;24.0
43;2022-03-26;camping;44.0;1.0;26/03/2022;44.0
44;2022-02-27;camping;50.0;3.0;27-feb-22;150.0
45;2022-01-25;vestimenta;14.0;3.0;25/01/2022;42.0
46;2022-04-04;vestimenta;18.0;3.0;04/04/2022;54.0
47;;vestimenta;12.0;5.0;17-ene-22;60.0
48;2022-05-18;vestimenta;45.0;4.0;18/05/2022;180.0
49;2022-02-05;electronica;45.0;3.0;05/02/2022;135.0
50;2022-05-06;electronica;37.0;2.0;06-may-22;74.0
51;2022-05-26;electronica;37.0;1.0;26/05/2022;37.0
52;2022-01-12;electronica;50.0;1.0;12/01/2022;50.0
53;2022-05-25;alimento;33.0;1.0;25-may-22;33.0
54;2022-02-23;alimento;35.0;3.0;23/02/2022;105.0
55;2022-05-06;alimento;46.0;5.0;06/05/2022;230.0
56;2022-05-30;alimento;15.0;3.0;30-may-22;45.0
57;2022-01-17;alimento;10.0;5.0;17/01/2022;50.0
58;2022-01-11;hogar;5.0;2.0;11/01/2022;10.0
59;2022-05-15;hogar;40.0;3.0;15-may-22;120.0
60;2022-03-17;hogar;12.0;4.0;17/03/2022;48.0
61;2022-02-26;jardin;26.0;3.0;26/02/2022;78.0
62;2022-03-09;jardin;15.0;4.0;09-mar-22;60.0
63;2022-05-14;jardin;39.0;2.0;14/05/2022;78.0
64;2022-03-25;jardin;22.0;3.0;25/03/2022;66.0
65;;camping;46.0;3.0;18-abr-22;138.0
66;2022-02-21;camping;50.0;4.0;21/02/2022;200.0
67;2022-01-24;camping;42.0;1.0;24/01/2022;42.0
68;2022-02-20;camping;27.0;4.0;20-feb-22;108.0
69;2022-02-26;vestimenta;18.0;4.0;26/02/2022;72.0
70;2022-05-21;vestimenta;17.0;3.0;21/05/2022;51.0
71;;vestimenta;2.0;4.0;29-ene-22;8.0
72;2022-06-05;vestimenta;30.0;1.0;05/06/2022;30.0
73;2022-01-25;electronica;29.0;4.0;25/01/2022;116.0
74;2022-03-05;electronica;17.0;2.0;05-mar-22;34.0
75;2022-01-07;electronica;24.0;4.0;07/01/2022;96.0
76;2022-06-05;electronica;33.0;2.0;05/06/2022;66.0
77;2022-03-28;alimento;40.0;4.0;28-mar-22;160.0
78;2022-01-25;alimento;4.0;5.0;25/01/2022;20.0
79;2022-01-26;alimento;26.0;3.0;26/01/2022;78.0
80;2022-03-27;alimento;12.0;5.0;27-mar-22;60.0
81;2022-05-22;alimento;46.0;3.0;22/05/2022;138.0
82;2022-05-29;hogar;46.0;4.0;29/05/2022;184.0
83;2022-02-26;hogar;36.0;3.0;26-feb-22;108.0
84;2022-05-07;hogar;28.0;5.0;07/05/2022;140.0
85;2022-05-19;jardin;18.0;5.0;19/05/2022;90.0
86;;jardin;49.0;4.0;12-abr-22;196.0
87;2022-04-10;jardin;35.0;3.0;10/04/2022;105.0
88;2022-05-30;jardin;31.0;3.0;30/05/2022;93.0
89;;camping;36.0;1.0;04-abr-22;36.0
90;2022-02-21;camping;7.0;4.0;21/02/2022;28.0
91;2022-05-10;camping;31.0;2.0;10/05/2022;62.0
92;2022-02-18;camping;32.0;5.0;18-feb-22;160.0
93;2022-04-24;vestimenta;46.0;3.0;24/04/2022;138.0
94;2022-05-06;vestimenta;48.0;2.0;06/05/2022;96.0
95;2022-02-14;vestimenta;13.0;2.0;14-feb-22;26.0
96;2022-03-08;vestimenta;11.0;4.0;08/03/2022;44.0
97;2022-03-13;electronica;41.0;3.0;13/03/2022;123.0
98;;electronica;44.0;1.0;26-abr-22;44.0
99;2022-05-30;electronica;4.0;4.0;30/05/2022;16.0
100;2022-03-06;electronica;28.0;4.0;06/03/2022;112.0
101;;alimento;14.0;4.0;19-ene-22;56.0
102;2022-03-01;alimento;27.0;4.0;01/03/2022;108.0
103;2022-04-03;alimento;42.0;3.0;03/04/2022;126.0
104;2022-05-24;alimento;51.0;3.0;24-may-22;153.0
105;2022-03-14;alimento;26.0;3.0;14/03/2022;78.0
106;2022-04-17;hogar;32.0;4.0;17/04/2022;128.0
107;2022-05-21;hogar;34.0;1.0;21-may-22;34.0
108;2022-03-20;hogar;37.0;3.0;20/03/2022;111.0
109;2022-01-20;jardin;36.0;4.0;20/01/2022;144.0
110;;jardin;39.0;2.0;04-abr-22;78.0
111;2022-05-29;jardin;10.0;1.0;29/05/2022;10.0
112;2022-06-04;jardin;29.0;2.0;04/06/2022;58.0
113;2022-03-08;camping;19.0;4.0;08-mar-22;76.0
114;2022-01-11;camping;13.0;5.0;11/01/2022;65.0
